"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042100","GO:0042100","B cell proliferation","19/231","104/18903",2.56887457719534e-17,7.32643029416112e-14,5.95708494059088e-14,"GPR183/TNFRSF13B/CR2/IL7/BTK/GAPT/FCRL3/CLCF1/IL10/CD300A/MS4A1/MNDA/TNFRSF13C/FCGR2B/CD74/CD19/CD70/VAV3/TLR9",19
"GO:0030888","GO:0030888","regulation of B cell proliferation","14/231","67/18903",6.15447696478061e-14,8.77628415177715e-11,7.13595408074299e-11,"GPR183/TNFRSF13B/IL7/BTK/FCRL3/CLCF1/IL10/CD300A/MNDA/TNFRSF13C/FCGR2B/CD74/VAV3/TLR9",14
"GO:0070661","GO:0070661","leukocyte proliferation","26/231","348/18903",1.65119900527422e-13,1.56973985434736e-10,1.27634786267337e-10,"GAL/GPR183/TNFRSF13B/CR2/IL7/CCL5/BTK/GAPT/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MS4A1/MNDA/TNFRSF13C/HHEX/FCGR2B/CD74/CD19/IL33/CD70/VAV3/TLR9",26
"GO:0046651","GO:0046651","lymphocyte proliferation","24/231","305/18903",4.88155572300718e-13,3.48054923050412e-10,2.83001769941706e-10,"GAL/GPR183/TNFRSF13B/CR2/IL7/CCL5/BTK/GAPT/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MS4A1/MNDA/TNFRSF13C/FCGR2B/CD74/CD19/CD70/VAV3/TLR9",24
"GO:0032943","GO:0032943","mononuclear cell proliferation","24/231","312/18903",7.97818251909155e-13,4.55075530888982e-10,3.70019707148604e-10,"GAL/GPR183/TNFRSF13B/CR2/IL7/CCL5/BTK/GAPT/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MS4A1/MNDA/TNFRSF13C/FCGR2B/CD74/CD19/CD70/VAV3/TLR9",24
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","22/231","269/18903",2.22447233665219e-12,1.05736585068867e-09,8.59739045200836e-10,"GAL/GPR183/TNFRSF13B/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MNDA/TNFRSF13C/HHEX/FCGR2B/CD74/IL33/CD70/VAV3/TLR9",22
"GO:0042113","GO:0042113","B cell activation","24/231","350/18903",9.27472476468468e-12,3.77878786126867e-09,3.0725140836993e-09,"BANK1/GPR183/TNFRSF13B/CR2/IL7/BTK/GAPT/FCRL3/CLCF1/IL6/IL10/CXCR5/CD300A/MS4A1/MNDA/TNFRSF13C/HHEX/FCGR2B/CD74/BATF/CD19/CD70/VAV3/TLR9",24
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","20/231","239/18903",1.53031853454217e-11,5.45558557564283e-09,4.43591017315315e-09,"GAL/GPR183/TNFRSF13B/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MNDA/TNFRSF13C/FCGR2B/CD74/CD70/VAV3/TLR9",20
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","20/231","243/18903",2.0714650292882e-11,6.56424251503328e-09,5.3373537538268e-09,"GAL/GPR183/TNFRSF13B/IL7/CCL5/BTK/FCRL3/CLCF1/IL6/LST1/IL10/HAVCR2/CD300A/MNDA/TNFRSF13C/FCGR2B/CD74/CD70/VAV3/TLR9",20
"GO:0002274","GO:0002274","myeloid leukocyte activation","19/231","237/18903",1.05638683967519e-10,3.01281526675364e-08,2.44970548189941e-08,"FGR/CCL5/BTK/CD200/CNR2/IL6/IL10/HAVCR2/CD300A/TNF/FCGR2B/CD74/BATF/ITGAM/IL33/CAMP/TLR9/UBD/PTGDR",19
