"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002313","GO:0002313","mature B cell differentiation involved in immune response","3/50","31/18903",7.42913374286557e-05,0.0372904495459646,0.0280629658572948,"XBP1/ITM2A/ADA",3
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","6/50","293/18903",0.000118042436626401,0.0372904495459646,0.0280629658572948,"XBP1/CCR2/ITM2A/NKG7/SEMA4A/ADA",6
"GO:0002335","GO:0002335","mature B cell differentiation","3/50","37/18903",0.000126992297594542,0.0372904495459646,0.0280629658572948,"XBP1/ITM2A/ADA",3
"GO:0002263","GO:0002263","cell activation involved in immune response","6/50","297/18903",0.000127116669609715,0.0372904495459646,0.0280629658572948,"XBP1/CCR2/ITM2A/NKG7/SEMA4A/ADA",6
"GO:0050864","GO:0050864","regulation of B cell activation","5/50","204/18903",0.000199034064094498,0.0372904495459646,0.0280629658572948,"XBP1/IGLL5/MZB1/IGLL1/ADA",5
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","6/50","323/18903",0.000200493143534615,0.0372904495459646,0.0280629658572948,"CCR2/APOE/JSRP1/S100A9/XCR1/CAPN3",6
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","7/50","464/18903",0.000205771427037818,0.0372904495459646,0.0280629658572948,"CCR2/MIR142/NKG7/PAK3/S100A9/PDGFD/LGMN",7
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","5/50","207/18903",0.000212990945719906,0.0372904495459646,0.0280629658572948,"XBP1/ITM2A/NKG7/SEMA4A/ADA",5
"GO:0050867","GO:0050867","positive regulation of cell activation","7/50","467/18903",0.000214039570098011,0.0372904495459646,0.0280629658572948,"XBP1/IGLL5/IGLL1/CCR2/MIR142/ADA/CAPN3",7
"GO:0043114","GO:0043114","regulation of vascular permeability","3/50","49/18903",0.000294471649137222,0.0407603471322062,0.0306742408265327,"APOE/RAMP2/PTP4A3",3
"GO:0042113","GO:0042113","B cell activation","6/50","350/18903",0.000308626597067081,0.0407603471322062,0.0306742408265327,"XBP1/IGLL5/MZB1/IGLL1/ITM2A/ADA",6
"GO:0051651","GO:0051651","maintenance of location in cell","5/50","226/18903",0.000319522853444006,0.0407603471322062,0.0306742408265327,"APOE/JSRP1/S100A9/XCR1/CAPN3",5
"GO:0072507","GO:0072507","divalent inorganic cation homeostasis","6/50","356/18903",0.00033793655147875,0.0407603471322062,0.0306742408265327,"CCR2/APOE/JSRP1/S100A9/XCR1/CAPN3",6
"GO:0097264","GO:0097264","self proteolysis","2/50","12/18903",0.000444957234151949,0.0498352102250183,0.0375035383070928,"LGMN/CAPN3",2
