"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","77/699","398/18903",7.28782185345278e-34,3.31231503239429e-30,2.59753313639906e-30,"LGMN/CCR7/PLA2G7/CCL5/FUT7/RIPK3/CD74/C3AR1/MMP9/CCR1/CXCR1/CCL7/C5AR1/CD300A/HCK/CXCR2/CXCL3/IL1B/CCL13/CCL8/CXCL11/FPR2/CXCL9/CXCL5/CXCL13/CSF1R/STAP1/CCL4/CSF3R/CCL3/CXCL10/AIF1/CXCL1/IL6/CD177/SELL/CNR2/ALOX5/CCL23/CCL3L3/CXCL2/S100A9/LCK/CXCR4/CCL2/TREM2/S100A8/TNFRSF18/FCER1G/VCAM1/GPR183/CCL4L1/ADTRP/CXCR5/THBS1/TNF/LYVE1/XCL2/APOD/P2RY12/CX3CR1/KLRK1/DUSP1/EDN1/NINJ1/PTN/TNFAIP6/GPR15/SERPINE1/GPR18/RARRES2/S100A12/LGALS3/HMOX1/SELE/CCL14/CCR2",77
"GO:0030595","GO:0030595","leukocyte chemotaxis","58/699","240/18903",4.38034709506841e-31,9.95433877354296e-28,7.8062396125798e-28,"LGMN/CCR7/PLA2G7/CCL5/CD74/C3AR1/CCR1/CXCR1/CCL7/C5AR1/CXCR2/CXCL3/IL1B/CCL13/CCL8/CXCL11/FPR2/CXCL9/CXCL5/CXCL13/CSF1R/STAP1/CCL4/CSF3R/CCL3/CXCL10/AIF1/CXCL1/IL6/CNR2/ALOX5/CCL23/CCL3L3/CXCL2/S100A9/CXCR4/CCL2/S100A8/FCER1G/GPR183/CCL4L1/CXCR5/THBS1/XCL2/CX3CR1/KLRK1/DUSP1/EDN1/NINJ1/PTN/TNFAIP6/SERPINE1/GPR18/RARRES2/S100A12/LGALS3/CCL14/CCR2",58
"GO:0060326","GO:0060326","cell chemotaxis","65/699","319/18903",4.74810823174451e-30,7.19338397109293e-27,5.64108577989014e-27,"LGMN/CCR7/PLA2G7/CCL5/CXCR6/CCR8/CD74/C3AR1/CCR1/CXCR1/CCL7/C5AR1/CXCR2/CXCL3/IL1B/CCL13/CCL8/CXCL11/CCRL2/FPR2/CXCL9/CXCL5/CXCL13/CSF1R/STAP1/CCL4/CSF3R/CCR4/CCL3/CXCL10/AIF1/CXCL1/IL6/CNR2/ALOX5/CCL23/CCL3L3/CXCL2/S100A9/CXCR4/CCL2/S100A8/FCER1G/VCAM1/GPR183/CCL4L1/CXCR5/THBS1/XCL2/NRP1/CX3CR1/KLRK1/DUSP1/EDN1/NINJ1/PTN/TNFAIP6/CXCL14/SERPINE1/GPR18/RARRES2/S100A12/LGALS3/CCL14/CCR2",65
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","76/699","464/18903",1.99237526042435e-28,2.26383638965717e-25,1.77531121889391e-25,"LGMN/CCR7/NFKBIA/TXK/PLA2G7/CCL5/LILRA5/LGALS2/CD74/C3AR1/OASL/SCIMP/BTK/CCR1/EREG/CCL7/C5AR1/NKG7/HCK/CXCR2/IL1B/FCGR1A/TYROBP/IFNG/IL2/FCN1/LILRA2/OSM/FPR2/CXCL13/CSF1R/STAP1/MNDA/CCL4/CD14/CCR4/CCL3/CXCL10/AIF1/LY86/IL6/NCR3/ALOX5AP/HAVCR2/NLRP3/CD180/S100A9/CXCR4/C3/TREM2/S100A8/KIR2DL4/PLAU/THBS1/TNF/THBD/KLRC3/XCL2/NRP1/P2RY12/CX3CR1/COCH/KLRK1/EDN1/NINJ1/PTN/IL21/FFAR3/HYAL2/SERPINE1/PLA2G2A/RARRES2/S100A12/KLRC2/MIR21/CCR2",76
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","78/699","496/18903",5.9519851239229e-28,5.41035447764591e-25,4.24282560623219e-25,"IL18RAP/CCR7/NFKBIA/TXK/CCL5/LILRA5/LILRA1/CXCR6/CCR8/IL18R1/CD74/OASL/CCR1/EREG/CXCR1/CCL7/IL2RA/EBI3/HCK/CXCR2/CXCL3/IL1B/IL1RN/IFNG/CCL13/LILRA2/OSM/CCL8/LILRB4/CXCL11/LILRA3/CCRL2/CXCL9/CXCL5/CXCL13/CSF1R/STAP1/CCL4/CSF3R/CCR4/CCL3/CXCL10/IL9R/CXCL1/IL6/IL1R2/TNFRSF17/TNFRSF13C/CCL23/CCL3L3/CXCL2/IL7R/CXCR4/IL2RB/CCL2/TREM2/TNFRSF18/FCER1G/IL7/IL3RA/CCL4L1/CXCR5/TNF/LILRA4/NR1H3/XCL2/GPR35/ZNF675/IFI27/ISG15/CX3CR1/CD70/EDN1/HSPA1A/MIR21/CCL14/HSPA1B/CCR2",78
"GO:0097529","GO:0097529","myeloid leukocyte migration","54/699","242/18903",3.7130828614198e-27,2.8126602675255e-24,2.20570150329253e-24,"LGMN/CCR7/PLA2G7/CCL5/FUT7/CD74/C3AR1/CCR1/CXCR1/CCL7/C5AR1/CD300A/CXCR2/CXCL3/IL1B/CCL13/CCL8/CXCL11/FPR2/CXCL9/CXCL5/CXCL13/CSF1R/STAP1/CCL4/CSF3R/CCL3/CXCL10/AIF1/CXCL1/IL6/CD177/CCL23/CCL3L3/CXCL2/S100A9/CCL2/TREM2/S100A8/FCER1G/CCL4L1/THBS1/XCL2/P2RY12/CX3CR1/DUSP1/EDN1/TNFAIP6/SERPINE1/RARRES2/S100A12/LGALS3/CCL14/CCR2",54
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","35/699","90/18903",5.46793669043306e-27,3.5502531797169e-24,2.78412535846712e-24,"CCR7/CCL5/CXCR6/CCR8/CCR1/CXCR1/CCL7/CXCR2/CXCL3/CCL13/CCL8/CXCL11/CCRL2/CXCL9/CXCL5/CXCL13/CCL4/CCR4/CCL3/CXCL10/CXCL1/CCL23/CCL3L3/CXCL2/CXCR4/CCL2/TREM2/CCL4L1/CXCR5/XCL2/GPR35/CX3CR1/EDN1/CCL14/CCR2",35
"GO:1990868","GO:1990868","response to chemokine","36/699","98/18903",1.07351663452651e-26,5.42125900435885e-24,4.25137698772719e-24,"CCR7/CCL5/CXCR6/CCR8/CCR1/CXCR1/CCL7/CXCR2/CXCL3/CCL13/CCL8/CXCL11/CCRL2/CXCL9/CXCL5/CXCL13/CCL4/CCR4/CCL3/CXCL10/CXCL1/CCL23/CCL3L3/CXCL2/CXCR4/CCL2/TREM2/CCL4L1/CXCR5/XCL2/GPR35/CX3CR1/DUSP1/EDN1/CCL14/CCR2",36
"GO:1990869","GO:1990869","cellular response to chemokine","36/699","98/18903",1.07351663452651e-26,5.42125900435885e-24,4.25137698772719e-24,"CCR7/CCL5/CXCR6/CCR8/CCR1/CXCR1/CCL7/CXCR2/CXCL3/CCL13/CCL8/CXCL11/CCRL2/CXCL9/CXCL5/CXCL13/CCL4/CCR4/CCL3/CXCL10/CXCL1/CCL23/CCL3L3/CXCL2/CXCR4/CCL2/TREM2/CCL4L1/CXCR5/XCL2/GPR35/CX3CR1/DUSP1/EDN1/CCL14/CCR2",36
"GO:0030593","GO:0030593","neutrophil chemotaxis","35/699","106/18903",3.60531425350947e-24,1.63861532822005e-21,1.28500990130348e-21,"CCR7/CCL5/CD74/C3AR1/CXCR1/CCL7/C5AR1/CXCR2/CXCL3/IL1B/CCL13/CCL8/CXCL11/CXCL9/CXCL5/CXCL13/CCL4/CSF3R/CCL3/CXCL10/CXCL1/CCL23/CCL3L3/CXCL2/S100A9/CCL2/S100A8/FCER1G/CCL4L1/XCL2/EDN1/TNFAIP6/S100A12/LGALS3/CCL14",35
