"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","7/26","318/18903",1.78435686942644e-07,9.97754611046983e-05,5.69840458659883e-05,"MMP1/CCN2/COL1A2/MMP2/ELN/COL10A1/COL4A1",7
"GO:0043062","GO:0043062","extracellular structure organization","7/26","319/18903",1.82276899054664e-07,9.97754611046983e-05,5.69840458659883e-05,"MMP1/CCN2/COL1A2/MMP2/ELN/COL10A1/COL4A1",7
"GO:0045229","GO:0045229","external encapsulating structure organization","7/26","321/18903",1.90169239716706e-07,9.97754611046983e-05,5.69840458659883e-05,"MMP1/CCN2/COL1A2/MMP2/ELN/COL10A1/COL4A1",7
"GO:0032963","GO:0032963","collagen metabolic process","5/26","107/18903",3.16476008928655e-07,0.000124533309513426,7.11238188487031e-05,"MMP1/CCN2/COL1A2/MMP2/BMP4",5
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","7/26","496/18903",3.50217321089432e-06,0.000930968336408735,0.000531697291040634,"CCL18/KIT/CCN2/CD36/GADD45G/CCL20/BMP4",7
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","6/26","315/18903",3.54879924933444e-06,0.000930968336408735,0.000531697291040634,"CCL18/CCN2/FN1/CD36/CCL20/BMP4",6
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","6/26","340/18903",5.50415673712324e-06,0.00123764895774743,0.000706849602030563,"CCL18/CCN2/FN1/CD36/CCL20/BMP4",6
"GO:0070374","GO:0070374","positive regulation of ERK1 and ERK2 cascade","5/26","223/18903",1.17408390641874e-05,0.00231001008587888,0.0013192995474758,"CCL18/CCN2/CD36/CCL20/BMP4",5
"GO:0007160","GO:0007160","cell-matrix adhesion","5/26","238/18903",1.60784222942519e-05,0.00249308302196774,0.00142385668478596,"ITGAM/CCN2/FN1/CD36/CDKN2A",5
"GO:0030595","GO:0030595","leukocyte chemotaxis","5/26","240/18903",1.67402045420273e-05,0.00249308302196774,0.00142385668478596,"CCL18/KIT/MMP2/CCL20/IL23A",5
"GO:0097529","GO:0097529","myeloid leukocyte migration","5/26","242/18903",1.74230706744886e-05,0.00249308302196774,0.00142385668478596,"CCL18/KIT/MMP2/CCL20/IL23A",5
"GO:0043200","GO:0043200","response to amino acid","4/26","118/18903",1.93972112711377e-05,0.00254426754506423,0.0014530893355747,"CCN2/COL1A2/MMP2/COL4A1",4
"GO:0001101","GO:0001101","response to acid chemical","4/26","133/18903",3.10515328197223e-05,0.00375962405063407,0.00214720720874841,"CCN2/COL1A2/MMP2/COL4A1",4
"GO:0060326","GO:0060326","cell chemotaxis","5/26","319/18903",6.51999885059962e-05,0.00733034156488843,0.00418652557775344,"CCL18/KIT/MMP2/CCL20/IL23A",5
"GO:0070542","GO:0070542","response to fatty acid","3/26","63/18903",8.68424041670676e-05,0.00911266294393096,0.00520445004622286,"CCN2/CD36/CDK4",3
"GO:0071492","GO:0071492","cellular response to UV-A","2/26","11/18903",9.92952091538971e-05,0.00976816620051463,0.00557882293535711,"MMP1/MMP2",2
"GO:0031589","GO:0031589","cell-substrate adhesion","5/26","369/18903",0.000129434301183518,0.0119840935331093,0.00684438967249067,"ITGAM/CCN2/FN1/CD36/CDKN2A",5
"GO:0070141","GO:0070141","response to UV-A","2/26","14/18903",0.000163871848193972,0.0143296827254063,0.00818400926068143,"MMP1/MMP2",2
"GO:0071230","GO:0071230","cellular response to amino acid stimulus","3/26","80/18903",0.000176908527801881,0.0145019611568525,0.00828240140971846,"COL1A2/MMP2/COL4A1",3
"GO:0050900","GO:0050900","leukocyte migration","5/26","398/18903",0.000184268883822776,0.0145019611568525,0.00828240140971846,"CCL18/KIT/MMP2/CCL20/IL23A",5
"GO:0007492","GO:0007492","endoderm development","3/26","83/18903",0.000197299584803397,0.0147880736419308,0.00844580678807525,"FN1/MMP2/BMP4",3
