"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","26/85","398/18903",1.8325991640334e-23,5.42815872386694e-20,3.08262469907934e-20,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/HMOX1/IL1B/IL6/MMP9/SELL/SERPINE1/TNF/VCAM1/CXCR4/DUSP1/THBS1/S100A8/NINJ1/KLRK1/CCL4/SELE/C5AR1/CXCL2/CCR7/LCK",26
"GO:0002237","GO:0002237","response to molecule of bacterial origin","23/85","360/18903",1.59712092381852e-20,2.36533608817523e-17,1.34326275592737e-17,"CCL2/CCL5/CD80/CD86/CXCL10/CXCL8/EDN1/FASLG/FOS/IL1B/IL6/NFKBIA/SERPINE1/TNF/VCAM1/SOD2/S100A8/KLRK1/THBD/SELE/C5AR1/CXCL2/CCR7",23
"GO:0032496","GO:0032496","response to lipopolysaccharide","22/85","339/18903",8.75398985777158e-20,8.64310598623981e-17,4.90837747112947e-17,"CCL2/CCL5/CD80/CD86/CXCL10/CXCL8/EDN1/FASLG/FOS/IL1B/IL6/NFKBIA/SERPINE1/TNF/VCAM1/SOD2/S100A8/KLRK1/THBD/SELE/CXCL2/CCR7",22
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","24/85","464/18903",2.85184634140556e-19,2.11179221581082e-16,1.19927643514897e-16,"CCL5/CCR2/CXCL10/CXCL8/EDN1/IFNG/IL1B/IL2/IL6/NFKBIA/PLAU/SERPINE1/TNF/CXCR4/THBS1/S100A8/NINJ1/KLRC2/KLRK1/CCL4/THBD/C3/C5AR1/CCR7",24
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","20/85","275/18903",5.42862563568215e-19,3.0078361849488e-16,1.70813540763644e-16,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/ICOS/KLRK1/SELE/CCR7/LCK",20
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","21/85","322/18903",6.09284845026766e-19,3.0078361849488e-16,1.70813540763644e-16,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/ICOS/PLAUR/KLRK1/SELE/CCR7/LCK",21
"GO:0030595","GO:0030595","leukocyte chemotaxis","19/85","240/18903",9.21085330965586e-19,3.89750678617152e-16,2.21337497576392e-16,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/IL1B/IL6/SERPINE1/CXCR4/DUSP1/THBS1/S100A8/NINJ1/KLRK1/CCL4/C5AR1/CXCL2/CCR7",19
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","23/85","450/18903",2.34609018379566e-18,8.68639890550342e-16,4.93296330750718e-16,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/TNFSF13/VCAM1/THBS1/ICOS/CD2/KLRC2/KLRK1/CCR7/LCK",23
"GO:0050867","GO:0050867","positive regulation of cell activation","23/85","467/18903",5.32352773881522e-18,1.7520321291523e-15,9.94970447558681e-16,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/TNFSF13/VCAM1/THBS1/ICOS/CD2/KLRC2/KLRK1/CCR7/LCK",23
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","22/85","414/18903",6.33580300656072e-18,1.87666485054329e-15,1.06574875836674e-15,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/SELL/TNF/VCAM1/ICOS/S100A8/KLRK1/SELE/CCR7/LCK",22
"GO:0060326","GO:0060326","cell chemotaxis","20/85","319/18903",1.00845189461102e-17,2.71548591985259e-15,1.54211112687887e-15,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/IL1B/IL6/SERPINE1/VCAM1/CXCR4/DUSP1/THBS1/S100A8/NINJ1/KLRK1/CCL4/C5AR1/CXCL2/CCR7",20
"GO:0050870","GO:0050870","positive regulation of T cell activation","18/85","251/18903",4.87751075389709e-17,1.2039322377536e-14,6.83707209186628e-15,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/VCAM1/ICOS/KLRK1/CCR7/LCK",18
"GO:0045785","GO:0045785","positive regulation of cell adhesion","22/85","484/18903",1.70433184396647e-16,3.88325455525283e-14,2.205281203772e-14,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/ICOS/LIF/PLAUR/KLRK1/SELE/CCR7/LCK",22
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","22/85","490/18903",2.20485827582099e-16,4.66485015212984e-14,2.64914550733981e-14,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/ICOS/PLAUR/KLRK1/SERPINE2/SELE/CCR7/LCK",22
"GO:0002685","GO:0002685","regulation of leukocyte migration","17/85","231/18903",2.55780144917774e-16,4.78197079288796e-14,2.71565774442409e-14,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/HMOX1/IL6/SERPINE1/TNF/DUSP1/THBS1/KLRK1/CCL4/SELE/C5AR1/CCR7",17
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","20/85","377/18903",2.58310373687398e-16,4.78197079288796e-14,2.71565774442409e-14,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNF/VCAM1/ICOS/KLRK1/SELE/CCR7/LCK",20
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","14/85","127/18903",4.65596614143663e-16,8.11233630055018e-14,4.60695597152677e-14,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/IL6/SERPINE1/DUSP1/THBS1/KLRK1/CCL4/C5AR1/CCR7",14
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","20/85","400/18903",8.05778089504144e-16,1.32595261172849e-13,7.53001980717908e-14,"CCL2/CCL5/CCR2/CD80/CD83/CD86/IFNG/IL1B/IL2/IL2RA/IL6/IL7/IL7R/TNFSF13/VCAM1/ICOS/KLRC2/KLRK1/CCR7/LCK",20
"GO:0001819","GO:0001819","positive regulation of cytokine production","21/85","486/18903",2.53268178264386e-15,3.94831760010059e-13,2.24223018762598e-13,"CCR2/CD80/CD83/CD86/HMOX1/IFNG/IL1B/IL2/IL6/IL7/SERPINE1/TNF/TNFRSF8/CYP1B1/THBS1/CD2/KLRK1/HSPA1A/C3/C5AR1/CCR7",21
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","21/85","496/18903",3.79192488025969e-15,5.44842252160397e-13,3.09413241036396e-13,"CCL2/CCL5/CCR2/CXCL10/CXCL8/EDN1/IFNG/IL1B/IL2RA/IL3RA/IL6/IL7/IL7R/NFKBIA/TNF/CXCR4/HSPA1A/CCL4/LILRA3/CXCL2/CCR7",21
