"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05219","hsa05219","Bladder cancer","4/25","41/8773",4.83798115739965e-06,0.000327489858384967,0.000191215295603065,"4312/4313/1019/1029",4
"hsa05222","hsa05222","Small cell lung cancer","5/25","92/8773",5.11702903726512e-06,0.000327489858384967,0.000191215295603065,"2335/1019/10912/1282/1147",5
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/25","100/8773",7.71510890863706e-06,0.000329177980101848,0.000192200958776572,"1278/2335/4313/1019/1282",5
"hsa04820","hsa04820","Cytoskeleton in muscle cells","6/25","229/8773",3.46047820027185e-05,0.00110735302408699,0.000646563032156056,"1278/2335/2006/2200/633/1282",6
"hsa05212","hsa05212","Pancreatic cancer","4/25","76/8773",5.73100729406055e-05,0.00122261488939958,0.000713862312067192,"1019/1029/10912/1147",4
"hsa05220","hsa05220","Chronic myeloid leukemia","4/25","76/8773",5.73100729406055e-05,0.00122261488939958,0.000713862312067192,"1019/1029/10912/1147",4
"hsa04512","hsa04512","ECM-receptor interaction","4/25","89/8773",0.000106378563545321,0.00194520801911445,0.00113577112958163,"1278/2335/948/1282",4
"hsa05146","hsa05146","Amoebiasis","4/25","102/8773",0.00018058481724898,0.00266696231405455,0.0015571901669233,"3684/1278/2335/1282",4
"hsa04974","hsa04974","Protein digestion and absorption","4/25","103/8773",0.000187520787706961,0.00266696231405455,0.0015571901669233,"1278/2006/1300/1282",4
"hsa04151","hsa04151","PI3K-Akt signaling pathway","6/25","359/8773",0.000411510318523616,0.00516891331149811,0.00301803326575959,"3815/1278/2335/1019/1282/1147",6
"hsa04926","hsa04926","Relaxin signaling pathway","4/25","129/8773",0.000444203487706869,0.00516891331149811,0.00301803326575959,"4312/1278/4313/1282",4
"hsa05221","hsa05221","Acute myeloid leukemia","3/25","67/8773",0.000868323021533318,0.00926211222968872,0.00540797671305838,"3684/3815/1147",3
"hsa05218","hsa05218","Melanoma","3/25","72/8773",0.00107092476656461,0.00964559055850365,0.00563188264517894,"1019/1029/10912",3
"hsa05223","hsa05223","Non-small cell lung cancer","3/25","72/8773",0.00107092476656461,0.00964559055850365,0.00563188264517894,"1019/1029/10912",3
"hsa04115","hsa04115","p53 signaling pathway","3/25","75/8773",0.00120569881981296,0.00964559055850365,0.00563188264517894,"1019/1029/10912",3
"hsa05214","hsa05214","Glioma","3/25","75/8773",0.00120569881981296,0.00964559055850365,0.00563188264517894,"1019/1029/10912",3
"hsa05165","hsa05165","Human papillomavirus infection","5/25","331/8773",0.0021131419090257,0.0155591880573223,0.00908472329004837,"1278/2335/1019/1282/1147",5
"hsa05323","hsa05323","Rheumatoid arthritis","3/25","93/8773",0.00224005719074199,0.0155591880573223,0.00908472329004837,"4312/6364/51561",3
"hsa04657","hsa04657","IL-17 signaling pathway","3/25","94/8773",0.00230956697725878,0.0155591880573223,0.00908472329004837,"4312/6364/1147",3
"hsa01522","hsa01522","Endocrine resistance","3/25","98/8773",0.00260100569143455,0.0163185328351734,0.00952809071790554,"4313/1019/1029",3
"hsa04640","hsa04640","Hematopoietic cell lineage","3/25","99/8773",0.00267725929327064,0.0163185328351734,0.00952809071790554,"3684/3815/948",3
"hsa05417","hsa05417","Lipid and atherosclerosis","4/25","215/8773",0.00296093590905186,0.0172272634708472,0.0100586817963006,"4312/948/3305/1147",4
"hsa04210","hsa04210","Apoptosis","3/25","135/8773",0.00639791058310372,0.0341464409116246,0.0199374778349124,"332/10912/1147",3
"hsa04915","hsa04915","Estrogen signaling pathway","3/25","138/8773",0.00679901923053133,0.0341464409116246,0.0199374778349124,"4313/3305/3880",3
"hsa05162","hsa05162","Measles","3/25","138/8773",0.00679901923053133,0.0341464409116246,0.0199374778349124,"1019/3305/1147",3
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","3/25","139/8773",0.00693599581017374,0.0341464409116246,0.0199374778349124,"4313/652/1147",3
"hsa05224","hsa05224","Breast cancer","3/25","147/8773",0.00809146677189676,0.0383595461778809,0.0223974323900456,"3815/1019/10912",3
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","4/25","297/8773",0.00928225524432141,0.0387504667626131,0.0226256837183021,"6362/6364/652/51561",4
"hsa04010","hsa04010","MAPK signaling pathway","4/25","299/8773",0.00949954427120729,0.0387504667626131,0.0226256837183021,"3815/10912/3305/1147",4
"hsa04218","hsa04218","Cellular senescence","3/25","156/8773",0.00952030015767109,0.0387504667626131,0.0226256837183021,"1019/1029/10912",3
"hsa04110","hsa04110","Cell cycle","3/25","157/8773",0.00968761669065328,0.0387504667626131,0.0226256837183021,"1019/1029/10912",3
"hsa04390","hsa04390","Hippo signaling pathway","3/25","157/8773",0.00968761669065328,0.0387504667626131,0.0226256837183021,"332/1490/652",3
"hsa05134","hsa05134","Legionellosis","2/25","56/8773",0.0109279619695014,0.0423872464271568,0.0247491323711195,"3684/3305",2
"hsa05225","hsa05225","Hepatocellular carcinoma","3/25","168/8773",0.0116428322443849,0.0438318390376842,0.02559260338549,"1019/1029/10912",3
